date,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
2017-07-02,0,456.0847739187482,0,0,0,0,0,0,267.8650816327744,0,282.76727888699423,0,0,0,0,0,43.72791182381075,0,0,0,0,0,0,311.97903348401235,0,0,0,0
2017-07-09,0,147.6269948521734,0,0,0,0,0,0,255.26175256172817,0,337.5746207458014,0,0,0,0,0,38.164206469470734,0,0,0,0,0,0,262.62941020442105,0,0,0,0
2017-07-16,0,124.27093400410337,0,0,0,0,0,0,248.15297512939128,0,409.4390966994569,0,0,0,0,0,27.507366236580246,0,0,0,0,0,0,236.287426344875,0,0,0,0
2017-07-23,0,72.70864198278043,0,0,0,0,0,0,320.00303427851117,0,398.7507954540382,0,0,0,0,0,39.03102590695529,0,0,0,0,0,0,343.26224899349364,0,0,0,0
2017-07-30,0,89.50234306536638,0,0,0,0,0,0,330.06372652214907,0,462.1420408509665,6.954930632004935,0,0,0,0,35.8649535951804,0,0,0,0,0,0,358.96445781209246,0,0,0,0
2017-08-06,0,232.48403378235713,0,0,0,9.946201647277377,0,0,332.2957774569231,0,517.8789892023718,0,0,0,0,0,45.733349084944,0,0,0,0,0,0,387.8444571137218,0,0,0,0
2017-08-13,0,98.82109564079092,0,0,0,0,0,0,393.2383877064868,0,694.0807186157114,0,0,0,0,0,46.734563597119056,0,0,0,0,0,0,543.1232157837012,0,0,0,0
2017-08-20,0,100.6277197772297,0,0,0,10.825239416408197,0,0,409.77268053162726,0,724.3534870740375,0,0,0,0,0,52.05485118675846,0,0,0,0,0,0,606.8983937094378,0,0,0,0
2017-08-27,0,189.17776793636733,0,0,0,11.570121695152624,0,0,289.06751388476704,0,507.31140303500274,0,0,0,0,0,40.9209025074372,0,0,0,0,846.5294747330074,0,707.4811303889519,0,0,0,0
2017-09-03,0,86.41209726859242,0,0,0,0,0,0,327.9321801128929,0,341.49915928011296,0,0,0,0,0,27.373310616472,0,0,0,0,142.82920145142086,0,609.9597742756147,0,0,0,0
2017-09-10,0,0,0,0,0,0,0,0,244.1172970010191,0,274.5620593954088,7.9709551887258865,0,0,0,0,23.448363812429346,0,0,0,0,0,0,350.08755057012655,0,0,0,0
2017-09-17,0,60.014719869194394,0,0,0,0,0,0,196.26477666490808,0,272.2253243520839,11.749886620978874,0,0,0,0,25.817870914999897,0,0,0,0,186.54383255285856,0,449.89962614520255,0,0,0,0
2017-09-24,0,64.41686431238091,0,0,0,0,0,0,193.5362135573679,0,307.10840214533033,56.83935370101876,0,0,0,0,25.48296232978591,0,0,0,0,38.533674153400504,0,352.68022034232695,0,0,0,0
2017-10-01,0,678.4470978511755,0,0,0,0,0,0,166.07644984750544,0,230.38277925619713,21.35784238144928,0,0,0,0,15.678024229933174,0,0,0,0,282.99312870254386,0,514.7406480456596,0,0,0,0
2017-10-08,0,121.04585816329693,0,0,0,0,0,0,225.4315674024496,0,258.57281981904526,21.297860663272605,0,0,0,0,29.706508241515024,0,0,0,0,0,0,294.129836725417,0,0,0,0
2017-10-15,0,65.9685876181944,0,0,0,0,0,0,174.3204715139015,0,347.3289310806774,16.41822821666482,0,0,0,0,15.15375370854937,0,0,0,0,0,0,252.1508341568692,0,0,0,0
2017-10-22,0,0,0,0,0,0,0,0,222.08596509629749,0,341.99107500381956,16.172804005541146,0,0,0,0,19.90739791060805,0,0,0,0,0,0,233.38082576889585,0,0,0,0
2017-10-29,0,0,0,0,0,0,0,0,157.86284051927674,0,326.40229404055344,34.2402711156362,0,0,0,0,12.748421610607611,0,0,0,0,0,0,212.32104324927147,0,0,0,0
2017-11-05,0,0,0,0,0,0,0,0,141.58231832173294,0,189.24799710449037,8.306980322970544,0,0,0,0,0,0,0,0,0,0,0,136.6949658598562,0,0,0,0
2017-11-12,0,0,0,0,0,0,0,0,483.9940623386288,0,200.8647139783596,0,0,0,0,0,0,0,0,0,0,0,0,301.12347055217907,0,0,0,0
2017-11-19,0,142.91644550237515,0,0,0,0,0,0,268.084237059071,0,223.62878604699304,0,0,0,0,0,0,0,0,0,0,28.345592973935844,0,168.51428531342088,0,0,0,0
2017-11-26,0,62.424180284787504,0,0,0,0,0,0,235.4615993699892,0,146.64828569154002,0,0,0,0,0,0,0,0,0,0,0,0,219.73669102006127,0,0,0,0
2017-12-03,0,54.04267623079319,0,0,0,0,0,0,137.40784670408712,0,92.91344543606527,0,0,0,0,0,0,0,0,0,0,0,0,114.54742833231182,0,0,0,0
2017-12-10,0,0,0,0,0,0,0,0,99.89705488382778,0,79.28763075401123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-17,0,0,0,0,0,0,0,0,68.62426051034858,0,66.8015423381892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.409334275196,0
2017-12-24,0,0,0,0,0,0,0,0,80.48233655674824,0,59.66958233195436,0,0,0,0,0,0,0,0,0,0,0,0,210.37327367434511,0,0,0,0
2017-12-31,0,0,0,0,0,0,0,0,63.54996966231493,0,61.168930315733206,0,0,0,0,0,0,0,0,0,0,0,0,199.65902412361723,0,0,0,0
2018-01-07,0,0,0,0,0,0,0,0,85.0612062649066,0,52.06481942181048,0,0,0,0,0,0,0,0,0,0,0,0,307.5486706405313,0,0,0,0
2018-01-14,0,0,0,0,0,0,0,0,65.30098780530544,0,64.08105000807572,0,0,0,0,0,0,0,0,0,0,0,0,433.3838570380684,0,0,0,0
2018-01-21,0,0,0,0,0,0,0,0,64.97460816680798,0,61.170762395241105,0,0,0,0,0,0,0,0,0,0,0,0,115.045592748838,0,0,0,0
2018-01-28,0,0,0,0,0,0,0,0,89.96044673189269,0,53.71306058546202,0,0,0,0,0,0,0,0,0,0,0,0,125.53816573127445,0,0,0,0
2018-02-04,0,0,0,0,0,8.151579504623111,0,0,46.39845856961992,0,50.139435983277366,0,0,0,0,0,0,0,0,0,0,0,0,114.66916359027236,0,0,0,0
2018-02-11,0,0,0,0,0,0,0,0,58.05508739561234,0,60.02031501660303,0,0,0,0,0,15.33997828429757,0,0,0,0,0,0,0,0,0,0,0
2018-02-18,0,0,0,0,0,0,0,0,67.9590332881916,0,87.30390853069567,0,0,0,0,0,0,0,0,0,0,0,0,92.06030233877604,0,0,0,0
2018-02-25,0,0,0,0,0,0,0,0,77.07419735833258,0,95.46698780576511,0,0,0,0,0,12.464732863643956,0,0,0,0,0,0,117.21497400041666,0,0,0,0
2018-03-04,0,0,0,0,0,0,0,0,51.079731077369694,0,102.78492711917988,0,0,0,0,0,0,0,0,0,0,0,0,98.32268819304022,0,0,0,0
2018-03-11,0,0,0,0,0,0,0,0,89.65487838375644,0,108.0834783803388,0,0,0,0,0,0,0,0,0,0,0,0,153.33236523802412,0,0,0,0
2018-03-18,0,0,119.24257022768228,0,0,0,0,0,68.36340335520588,0,73.68563410246041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.16108995377877,0,0
2018-03-25,0,0,0,0,0,0,0,0,104.32479248833354,0,137.4536064558529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,0,0,0,0,0,0,0,0,88.4613630222755,0,120.91862797895308,0,0,192.36439144483225,0,0,0,0,0,0,0,0,0,95.3692028272771,0,0,0,0
2018-04-08,0,0,0,561.6085173784614,0,0,0,0,73.24159050476538,0,154.66661469299515,9.797707654479415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-15,0,124.73145058374848,0,0,0,0,0,0,148.7246070596327,0,622.0614360215965,43.67226524099737,0,0,0,0,19.32885262226673,0,0,0,0,0,0,242.89809778671383,0,0,0,0
2018-04-22,0,140.57908151143857,0,0,203.1997504935563,0,0,0,188.784033714794,0,743.5492848755777,19.02395989532112,0,0,0,0,36.69436187832283,0,0,0,0,0,0,281.9106286221268,0,0,0,0
2018-04-29,0,192.09758902684817,0,0,117.66325048373564,0,0,0,140.96311994062293,0,395.99123265667333,13.537621199895888,0,0,0,0,14.380854152856449,0,0,0,0,0,0,212.9259501317972,0,0,0,0
2018-05-06,0,301.03009074527176,0,0,0,17.465708892638734,0,0,210.84849346090027,0,808.4698160719017,66.00399425163242,0,0,0,0,22.492345633247588,0,0,0,0,40.1397972940127,0,208.11201548982908,0,0,0,0
2018-05-13,0,127.75319094098418,0,0,0,8.811885593687963,0,0,145.02105396847264,92.7421312008729,451.71348254983354,41.8448129001005,0,0,0,0,21.32861879541572,0,0,0,0,24.8454166720752,0,225.95235188141856,0,0,0,0
2018-05-20,0,156.10495572050033,0,0,0,11.611710261622362,0,0,177.10327843038073,0,564.5379244120134,41.2698928278126,0,0,0,0,20.493505036577545,0,0,0,0,31.765746078152624,0,194.1641744544096,0,0,0,0
2018-05-27,0,128.53957232244406,0,0,0,11.658885473026448,0,0,145.18390884685778,0,431.88864573472665,46.08404139343224,0,0,0,0,32.69396026929648,0,0,0,0,0,0,104.89352784402348,0,0,0,0
2018-06-03,0,181.04013692081097,0,0,0,8.809564492313926,0,0,126.8962485602918,0,449.4632279046557,40.29551633183432,0,0,0,0,32.88871537851826,0,0,0,0,29.399765075448364,0,92.6549690740238,0,0,0,0
2018-06-10,0,93.59211201799224,0,0,0,12.977883612391578,0,0,165.61328716002598,0,322.2667191172055,29.015138863748344,0,0,0,0,16.42817737846007,0,0,0,0,0,0,154.25400618504497,0,0,0,0
2018-06-17,0,84.73287599395648,0,0,0,9.420131867406337,0,0,152.25547593324197,0,405.92558855943423,18.2958398572105,0,0,0,0,33.52341142171184,0,0,0,0,0,0,262.0531536873752,0,0,0,0
2018-06-24,0,78.59039720586902,0,0,0,0,0,0,160.263909859488,0,485.43559906140933,24.876701690176485,0,0,0,0,23.92353856965483,0,0,0,0,0,0,137.71169280573687,0,86.42006581201032,0,0
2018-07-01,0,437.9636497683363,0,0,0,19.5686522305871,0,0,169.83700055388044,0,487.42645210836326,47.84027633630525,0,0,0,0,40.704028177318335,0,0,0,0,26.592540883945723,0,94.87972168839786,0,0,0,0
2018-07-08,0,272.4022672679364,0,0,0,23.44351439193345,0,0,328.75375352584643,0,921.5566446053732,32.662139655971544,0,0,0,0,96.64467359506276,0,0,0,0,34.123307004676384,0,274.2240837011481,0,0,0,0
2018-07-15,0,231.39347970440937,0,0,0,22.721595761017277,0,0,2323.2879040475655,0,829.4312235563795,27.662719316451533,0,0,0,0,71.99570032826794,0,0,0,0,28.282223497443933,0,221.9390266044284,0,0,0,0
2018-07-22,0,361.26309721194554,0,0,0,16.888218760102383,0,0,2235.3744501523947,0,1065.399091779693,23.64704769026383,0,0,0,0,38.55556621269734,0,0,0,0,0,0,314.54313110713866,0,0,0,0
2018-07-29,0,679.7014903647305,0,0,0,17.27138201096426,0,0,1361.5658603330285,0,1376.6898392382284,15.413334948237235,0,0,0,0,54.626318881067874,0,0,0,0,191.6868302451903,0,585.9766798514046,0,0,0,0
